name,highway,geometry
Katraj Kondhwa Road,trunk,"LINESTRING (73.8589186 18.4472028, 73.8587908 18.4471827)"
Satara Road,trunk,"LINESTRING (73.8589186 18.4472028, 73.8589999 18.446857, 73.8590843 18.4465164, 73.8591582 18.4461891)"
Katraj Kondhwa Road,trunk,"LINESTRING (73.8912848 18.4520794, 73.8911524 18.4521348)"
Satara Road,trunk,"LINESTRING (73.8586747 18.4542419, 73.8586457 18.4540668, 73.8584041 18.4528801, 73.8583118 18.4522888, 73.8582205 18.4516753, 73.8581818 18.4511468, 73.8581859 18.4508732, 73.8581993 18.4506862)"
Satara Road,trunk,"LINESTRING (73.858105 18.4579936, 73.8579826 18.4585839, 73.857934 18.4589222, 73.857933 18.458954, 73.8579321 18.4589798, 73.8579243 18.4592144, 73.8579532 18.4599818, 73.8579607 18.4601671)"
Sadguru Shankar Maharaj Uddanpul,trunk,"LINESTRING (73.8580744 18.4624627, 73.8580901 18.4626725, 73.8580924 18.4635826, 73.8580841 18.4637924, 73.8578258 18.4666504, 73.8576897 18.4679407, 73.8575803 18.4685778, 73.8574296 18.4693816, 73.8573564 18.4696791, 73.8571773 18.4702293, 73.8570524 18.4706703, 73.8568897 18.4711634, 73.8566144 18.4720927, 73.8565113 18.4724814, 73.856324 18.4732743, 73.8562646 18.4735247)"
Satara Road,trunk,"LINESTRING (73.8580744 18.4624627, 73.8580295 18.4627371, 73.8580425 18.463199, 73.8580451 18.4634114, 73.8580484 18.4635889, 73.8580441 18.4637475, 73.8580054 18.4641327)"
Satara Road,trunk,"LINESTRING (73.8578377 18.4659373, 73.8577909 18.4665815, 73.8576596 18.4675438)"
Satara Road,trunk,"LINESTRING (73.8562646 18.4735247, 73.8562573 18.4736178, 73.8562277 18.4738758, 73.8562131 18.4740391)"
Satara Road,trunk,"LINESTRING (73.8571009 18.4770868, 73.8570466 18.4770251, 73.8568743 18.4768171, 73.8567764 18.4766874, 73.8566463 18.4765029, 73.8565524 18.4763579, 73.8564773 18.476218)"
Satara Road,trunk,"LINESTRING (73.8571677 18.4824469, 73.8572274 18.4828256, 73.8572751 18.4830822, 73.8573172 18.4833087, 73.8573861 18.4837108, 73.8574565 18.4842767, 73.8574583 18.4842951, 73.8574998 18.484917, 73.8575055 18.4850138)"
Solapur Road,trunk,"LINESTRING (73.9126293 18.5063593, 73.9128214 18.5063468, 73.9130642 18.5063196)"
Solapur Road,trunk,"LINESTRING (73.8984342 18.5065704, 73.8979267 18.506625, 73.8973893 18.5066828)"
Satara Road,trunk,"LINESTRING (73.8581029 18.4966935, 73.8581134 18.4966021)"
Jagannath Shankarsheth Marg,trunk,"LINESTRING (73.8762137 18.5022281, 73.876254 18.5022376)"
